"","Date","Coupon_used","Coupon_no","ratio","total"
"1",2016-01-01,36,2552,0.0139103554868624,2588
"2",2016-01-02,36,2385,0.0148698884758364,2421
"3",2016-01-03,57,2554,0.0218307162006894,2611
"4",2016-01-04,47,2448,0.0188376753507014,2495
"5",2016-01-05,54,2473,0.0213692125049466,2527
"6",2016-01-06,77,2636,0.0283818650939919,2713
"7",2016-01-07,72,2658,0.0263736263736264,2730
"8",2016-01-08,93,3216,0.028105167724388,3309
"9",2016-01-09,84,3027,0.0270009643201543,3111
"10",2016-01-10,75,2934,0.0249252243270189,3009
"11",2016-01-11,87,2493,0.0337209302325581,2580
"12",2016-01-12,79,2717,0.0282546494992847,2796
"13",2016-01-13,88,2824,0.0302197802197802,2912
"14",2016-01-14,90,2886,0.030241935483871,2976
"15",2016-01-15,137,3131,0.041921664626683,3268
"16",2016-01-16,116,3135,0.035681328821901,3251
"17",2016-01-17,127,3022,0.0403302635757383,3149
"18",2016-01-18,135,2667,0.0481798715203426,2802
"19",2016-01-19,124,2797,0.0424512153372133,2921
"20",2016-01-20,140,2745,0.048526863084922,2885
"21",2016-01-21,152,2638,0.0544802867383513,2790
"22",2016-01-22,164,2675,0.0577668193025713,2839
"23",2016-01-23,181,3846,0.0449466103799354,4027
"24",2016-01-24,293,3722,0.0729763387297634,4015
"25",2016-01-25,330,3566,0.0847022587268994,3896
"26",2016-01-26,284,3360,0.0779363336992316,3644
"27",2016-01-27,304,3360,0.0829694323144105,3664
"28",2016-01-28,348,3409,0.0926270960873037,3757
"29",2016-01-29,595,3300,0.152759948652118,3895
"30",2016-01-30,754,3542,0.175512104283054,4296
"31",2016-01-31,881,3079,0.222474747474747,3960
"32",2016-02-01,592,2598,0.185579937304075,3190
"33",2016-02-02,635,2756,0.187260395163669,3391
"34",2016-02-03,625,2670,0.189681335356601,3295
"35",2016-02-04,652,2706,0.194163192376415,3358
"36",2016-02-05,775,2762,0.219112242013005,3537
"37",2016-02-06,694,2305,0.231410470156719,2999
"38",2016-02-07,552,1180,0.318706697459584,1732
"39",2016-02-08,530,921,0.36526533425224,1451
"40",2016-02-09,527,1023,0.34,1550
"41",2016-02-10,441,1128,0.281070745697897,1569
"42",2016-02-11,387,1211,0.242177722152691,1598
"43",2016-02-12,338,1304,0.20584652862363,1642
"44",2016-02-13,376,1502,0.200212992545261,1878
"45",2016-02-14,476,2199,0.177943925233645,2675
"46",2016-02-15,422,2158,0.163565891472868,2580
"47",2016-02-16,368,2262,0.139923954372624,2630
"48",2016-02-17,333,2371,0.123150887573965,2704
"49",2016-02-18,347,2420,0.125406577520781,2767
"50",2016-02-19,348,2434,0.12508986340762,2782
"51",2016-02-20,447,2457,0.153925619834711,2904
"52",2016-02-21,441,2453,0.152384243261921,2894
"53",2016-02-22,359,2467,0.127034677990092,2826
"54",2016-02-23,225,2559,0.0808189655172414,2784
"55",2016-02-24,277,2721,0.0923949299533022,2998
"56",2016-02-25,257,2786,0.0844561288202432,3043
"57",2016-02-26,308,2957,0.094333843797856,3265
"58",2016-02-27,410,3118,0.116213151927438,3528
"59",2016-02-28,533,3439,0.134189325276939,3972
"60",2016-02-29,485,2893,0.143576080521018,3378
"61",2016-03-01,70,2955,0.0231404958677686,3025
"62",2016-03-02,61,2903,0.0205802968960864,2964
"63",2016-03-03,61,2835,0.0210635359116022,2896
"64",2016-03-04,85,3356,0.024702121476315,3441
"65",2016-03-05,79,3522,0.0219383504582061,3601
"66",2016-03-06,92,3346,0.0267597440372309,3438
"67",2016-03-07,74,3055,0.0236497283477149,3129
"68",2016-03-08,69,3063,0.0220306513409962,3132
"69",2016-03-09,62,3075,0.019764105833599,3137
"70",2016-03-10,70,3061,0.0223570744171191,3131
"71",2016-03-11,75,3614,0.0203307129303334,3689
"72",2016-03-12,81,3637,0.021785906401291,3718
"73",2016-03-13,76,3339,0.0222547584187409,3415
"74",2016-03-14,69,3263,0.0207082833133253,3332
"75",2016-03-15,69,3286,0.0205663189269747,3355
"76",2016-03-16,72,3378,0.0208695652173913,3450
"77",2016-03-17,58,3305,0.0172465060957478,3363
"78",2016-03-18,73,3651,0.0196025778732546,3724
"79",2016-03-19,81,3667,0.0216115261472785,3748
"80",2016-03-20,86,3628,0.0231556273559505,3714
"81",2016-03-21,57,6980,0.00810004263180332,7037
"82",2016-03-22,359,7120,0.0480010696617195,7479
"83",2016-03-23,665,7172,0.0848538981753222,7837
"84",2016-03-24,874,6951,0.111693290734824,7825
"85",2016-03-25,1164,8441,0.121186881832379,9605
"86",2016-03-26,1076,9167,0.105047349409353,10243
"87",2016-03-27,1318,8907,0.128899755501222,10225
"88",2016-03-28,1387,3983,0.25828677839851,5370
"89",2016-03-29,1362,3466,0.282104391052196,4828
"90",2016-03-30,1421,3307,0.300549915397631,4728
"91",2016-03-31,1291,3612,0.263308178666123,4903
"92",2016-04-01,1127,3860,0.225987567675957,4987
"93",2016-04-02,825,3183,0.205838323353293,4008
"94",2016-04-03,690,2821,0.196525206493876,3511
"95",2016-04-04,599,3122,0.160978231658156,3721
"96",2016-04-05,300,3599,0.0769428058476532,3899
"97",2016-04-06,123,3360,0.0353143841515935,3483
"98",2016-04-07,143,3613,0.0380724174653887,3756
"99",2016-04-08,166,4067,0.0392156862745098,4233
"100",2016-04-09,163,3782,0.041318124207858,3945
"101",2016-04-10,163,3800,0.0411304567247035,3963
"102",2016-04-11,133,3655,0.0351108764519535,3788
"103",2016-04-12,153,3706,0.039647577092511,3859
"104",2016-04-13,149,3843,0.0373246492985972,3992
"105",2016-04-14,139,4346,0.0309921962095875,4485
