"","Date_received","Coupon_sent","Coupon_used","ratio","Coupon_no"
"1",2016-01-01,554,74,0.133574007220217,480
"2",2016-01-02,542,67,0.123616236162362,475
"3",2016-01-03,536,74,0.138059701492537,462
"4",2016-01-04,577,98,0.169844020797227,479
"5",2016-01-05,691,107,0.154848046309696,584
"6",2016-01-06,808,148,0.183168316831683,660
"7",2016-01-07,746,120,0.160857908847185,626
"8",2016-01-08,970,139,0.143298969072165,831
"9",2016-01-09,1003,124,0.123629112662014,879
"10",2016-01-10,869,109,0.125431530494822,760
"11",2016-01-11,712,108,0.151685393258427,604
"12",2016-01-12,773,104,0.134540750323415,669
"13",2016-01-13,1459,204,0.139821795750514,1255
"14",2016-01-14,1520,211,0.138815789473684,1309
"15",2016-01-15,1665,234,0.140540540540541,1431
"16",2016-01-16,1517,151,0.0995385629531971,1366
"17",2016-01-17,1546,172,0.111254851228978,1374
"18",2016-01-18,1177,115,0.0977060322854715,1062
"19",2016-01-19,1283,140,0.109119251753702,1143
"20",2016-01-20,1166,156,0.133790737564322,1010
"21",2016-01-21,1194,143,0.119765494137353,1051
"22",2016-01-22,1236,139,0.112459546925566,1097
"23",2016-01-23,24045,791,0.0328966521106259,23254
"24",2016-01-24,39481,935,0.0236822775512272,38546
"25",2016-01-25,65904,1007,0.015279800922554,64897
"26",2016-01-26,26027,739,0.0283935912706036,25288
"27",2016-01-27,18893,758,0.0401206796167893,18135
"28",2016-01-28,34334,1050,0.0305819304479525,33284
"29",2016-01-29,71658,2341,0.0326690669569343,69317
"30",2016-01-30,33226,1205,0.0362667790284717,32021
"31",2016-01-31,35427,1298,0.036638721878793,34129
"32",2016-02-01,16371,706,0.0431250381772647,15665
"33",2016-02-02,11253,436,0.0387452234959566,10817
"34",2016-02-03,17494,609,0.03481193552075,16885
"35",2016-02-04,14450,602,0.0416608996539792,13848
"36",2016-02-05,4659,521,0.1118265722258,4138
"37",2016-02-06,3115,419,0.134510433386838,2696
"38",2016-02-07,33319,1375,0.0412677451304061,31944
"39",2016-02-08,1967,76,0.0386375190645653,1891
"40",2016-02-09,1173,84,0.0716112531969309,1089
"41",2016-02-10,3365,82,0.0243684992570579,3283
"42",2016-02-11,3093,105,0.0339476236663434,2988
"43",2016-02-12,3730,112,0.0300268096514745,3618
"44",2016-02-13,4007,111,0.0277015223359122,3896
"45",2016-02-14,4013,149,0.0371293296785447,3864
"46",2016-02-15,701,80,0.114122681883024,621
"47",2016-02-16,685,74,0.108029197080292,611
"48",2016-02-17,618,84,0.135922330097087,534
"49",2016-02-18,543,69,0.12707182320442,474
"50",2016-02-19,669,89,0.133034379671151,580
"51",2016-02-20,848,86,0.101415094339623,762
"52",2016-02-21,670,76,0.113432835820896,594
"53",2016-02-22,667,87,0.130434782608696,580
"54",2016-02-23,554,60,0.108303249097473,494
"55",2016-02-24,633,70,0.110584518167457,563
"56",2016-02-25,780,100,0.128205128205128,680
"57",2016-02-26,902,98,0.108647450110865,804
"58",2016-02-27,1073,101,0.0941286113699907,972
"59",2016-02-28,1216,105,0.0863486842105263,1111
"60",2016-02-29,865,101,0.116763005780347,764
"61",2016-03-01,902,70,0.0776053215077605,832
"62",2016-03-02,578,55,0.0951557093425606,523
"63",2016-03-03,566,71,0.125441696113074,495
"64",2016-03-04,768,110,0.143229166666667,658
"65",2016-03-05,933,118,0.126473740621651,815
"66",2016-03-06,1000,106,0.106,894
"67",2016-03-07,609,77,0.126436781609195,532
"68",2016-03-08,786,104,0.132315521628499,682
"69",2016-03-09,694,88,0.126801152737752,606
"70",2016-03-10,956,89,0.0930962343096234,867
"71",2016-03-11,786,116,0.147582697201018,670
"72",2016-03-12,1006,108,0.107355864811133,898
"73",2016-03-13,935,94,0.100534759358289,841
"74",2016-03-14,619,72,0.116316639741519,547
"75",2016-03-15,788,71,0.0901015228426396,717
"76",2016-03-16,715,86,0.12027972027972,629
"77",2016-03-17,700,78,0.111428571428571,622
"78",2016-03-18,840,91,0.108333333333333,749
"79",2016-03-19,1026,122,0.118908382066277,904
"80",2016-03-20,977,105,0.107471852610031,872
"81",2016-03-21,9923,2325,0.234304141892573,7598
"82",2016-03-22,9826,2250,0.228984327294932,7576
"83",2016-03-23,9754,2079,0.21314332581505,7675
"84",2016-03-24,9283,1759,0.18948615749219,7524
"85",2016-03-25,11265,1764,0.15659121171771,9501
"86",2016-03-26,13719,1811,0.132006706028136,11908
"87",2016-03-27,13341,1692,0.126827074432201,11649
"88",2016-03-28,2289,159,0.0694626474442988,2130
"89",2016-03-29,2754,190,0.0689905591866376,2564
